mid_price,volume_usd,quote_currency,estimated_delivery_price,creation_timestamp,base_currency,underlying_index,underlying_price,mark_iv,volume,interest_rate,price_change,open_interest,ask_price,bid_price,instrument_name,mark_price,last,low,high
,365055.49,BTC,72011.29,1710223032940,BTC,SYN.BTC-14MAR24,72505.58708731517,40.0,325.0,0.0,0.0,25.0,0.07,,BTC-14MAR24-72250-C,0.01552579,0.0152,0.0152,0.016
0.01925,42874.6,BTC,72011.29,1710223032940,BTC,SYN.BTC-12MAR24,72366.10126194553,95.44,22.1,0.0,-21.1196,12.5,0.03,0.0085,BTC-12MAR24-74000-P,0.03046327,0.031,0.0001,0.0393
,0.0,BTC,72011.29,1710223032940,BTC,SYN.BTC-12MAR24,72366.10126194553,97.39,0.0,0.0,,0.0,0.0023,,BTC-12MAR24-68250-P,0.00159514,0.0183,,
,0.0,BTC,72011.29,1710223032940,BTC,BTC-22MAR24,73182.95,100.0,0.0,0.0,,0.0,,,BTC-22MAR24-51000-P,0.00089696,0.0001,,
0.429,3253084.02,BTC,72011.29,1710223032940,BTC,BTC-26APR24,75201.87,96.34,106.0,0.0,2.6253,150.7,0.432,0.426,BTC-26APR24-43000-C,0.43355421,0.43,0.419,0.43
,0.0,BTC,72011.29,1710223032940,BTC,SYN.BTC-12MAR24,72366.10126194553,98.3,0.0,0.0,,0.0,0.0018,,BTC-12MAR24-67750-P,0.00112362,0.0145,,
0.162,0.0,BTC,72011.29,1710223032940,BTC,SYN.BTC-31MAY24,76373.63777777778,80.81,0.0,0.0,,60.3,0.222,0.102,BTC-31MAY24-84000-P,0.21300086,0.27,,
,15196.98,BTC,72011.29,1710223032940,BTC,SYN.BTC-12MAR24,72366.10126194553,97.39,90.3,0.0,-98.75,37.2,0.002,,BTC-12MAR24-68000-P,0.00131504,0.0001,0.0001,0.008
0.00625,9027.42,BTC,72011.29,1710223032940,BTC,SYN.BTC-31MAY24,76373.63777777778,100.0,18.9,0.0,7.6923,16.0,0.007,0.0055,BTC-31MAY24-40000-P,0.01291278,0.007,0.0065,0.007
0.38125,354259.11,BTC,72011.29,1710223032940,BTC,BTC-28JUN24,77322.77,81.88,13.1,0.0,4.5706,682.4,0.3835,0.379,BTC-28JUN24-50000-C,0.38422234,0.3775,0.361,0.3775
,0.0,BTC,72011.29,1710223032940,BTC,BTC-27DEC24,81002.9024,100.0,0.0,0.0,,173.3,,,BTC-27DEC24-42000-C,0.56304691,0.454,,
,755424.39,BTC,72011.29,1710223032940,BTC,SYN.BTC-13MAR24,72435.84417463036,100.0,75.0,0.0,52.8796,10.0,0.0048,,BTC-13MAR24-67750-C,0.07038317,0.146,0.0955,0.146
0.03325,520346.77,BTC,72011.29,1710223032940,BTC,SYN.BTC-14MAR24,72505.58708731517,97.73,181.6,0.0,-15.0,96.8,0.0345,0.032,BTC-14MAR24-71000-C,0.04456428,0.034,0.034,0.045
,0.0,BTC,72011.29,1710223032940,BTC,BTC-27DEC24,81002.9024,71.99,0.0,0.0,,0.0,,,BTC-27DEC24-82000-P,0.25976713,,,
,411150.34,BTC,72011.29,1710223032940,BTC,BTC-27DEC24,81002.9024,100.0,13.6,0.0,0.0,472.4,,0.4465,BTC-27DEC24-48000-C,0.51976054,0.4405,0.4405,0.4405
,0.0,BTC,72011.29,1710223032940,BTC,BTC-28JUN24,77316.26,71.65,0.0,0.0,,0.0,,,BTC-28JUN24-74000-P,0.13112711,0.119,,
,0.0,BTC,72011.29,1710223032940,BTC,BTC-26APR24,75195.36,80.96,0.0,0.0,,0.0,,,BTC-26APR24-81000-C,0.08363014,,,
,0.0,BTC,72011.29,1710223032940,BTC,BTC-22MAR24,73182.95,99.95,0.0,0.0,,0.0,,,BTC-22MAR24-55000-C,0.251401,,,
0.00575,0.0,BTC,72011.29,1710223032940,BTC,BTC-27SEP24,80619.44,90.32,0.0,0.0,,275.4,0.0065,0.005,BTC-27SEP24-25000-P,0.00572986,0.0065,,
0.00775,404874.28,BTC,72011.29,1710223032940,BTC,BTC-29MAR24,73732.53,90.6,357.1,0.0,-12.9032,208.9,0.015,0.0005,BTC-29MAR24-90000-C,0.01831658,0.0135,0.0135,0.018
,3.42,BTC,72011.29,1710223032940,BTC,BTC-15MAR24,72575.33,100.0,0.5,0.0,0.0,176.9,0.0005,,BTC-15MAR24-45000-P,2e-08,0.0001,0.0001,0.0001
0.00675,313535.41,BTC,72011.29,1710223032940,BTC,SYN.BTC-14MAR24,72505.58708731517,100.0,429.4,0.0,8400.0,356.5,0.007,0.0065,BTC-14MAR24-76500-C,0.01431376,0.0085,0.0001,0.0145
,0.0,BTC,72011.29,1710223032940,BTC,SYN.BTC-31MAY24,76373.63777777778,78.11,0.0,0.0,,0.0,,,BTC-31MAY24-83000-P,0.19924847,,,
0.02675,0.0,BTC,72011.29,1710223032940,BTC,BTC-27SEP24,80619.44,82.94,0.0,0.0,,362.2,0.0275,0.026,BTC-27SEP24-42000-P,0.03170181,0.0325,,
0.10325,0.0,BTC,72011.29,1710223032940,BTC,BTC-27DEC24,81002.9024,93.01,0.0,0.0,,0.3,0.106,0.1005,BTC-27DEC24-150000-C,0.1428964,0.028,,
0.02725,124330.06,BTC,72011.29,1710223032940,BTC,SYN.BTC-31MAY24,76373.63777777778,81.32,63.8,0.0,-7.0175,67.9,0.0285,0.026,BTC-31MAY24-53000-P,0.02853767,0.0265,0.0265,0.0285
,0.0,BTC,72011.29,1710223032940,BTC,SYN.BTC-31MAY24,76373.63777777778,100.0,0.0,0.0,,0.0,,,BTC-31MAY24-140000-P,0.86221241,,,
,0.0,BTC,72011.29,1710223032940,BTC,BTC-27DEC24,80645.83520000002,93.18,0.0,0.0,,0.0,,,BTC-27DEC24-190000-C,0.09538987,,,
0.052,55881.15,BTC,72011.29,1710223032940,BTC,SYN.BTC-14MAR24,72505.58708731517,100.0,15.3,0.0,0.0,15.3,0.0585,0.0455,BTC-14MAR24-75000-P,0.05473422,0.0505,0.0505,0.0505
0.1245,604215.36,BTC,72011.29,1710223032940,BTC,BTC-28JUN24,77316.26,79.08,65.0,0.0,13.5965,33.0,0.129,0.12,BTC-28JUN24-85000-C,0.1338926,0.1295,0.114,0.133
0.0008,9034.69,BTC,72011.29,1710223032940,BTC,BTC-15MAR24,72575.33,100.0,80.2,0.0,-36.8421,678.7,0.0011,0.0005,BTC-15MAR24-60000-P,0.00103582,0.0012,0.0009,0.0019
0.20925,1036331.57,BTC,72011.29,1710223032940,BTC,BTC-26APR24,75201.87,81.15,71.1,0.0,6.0759,69.2,0.211,0.2075,BTC-26APR24-62000-C,0.21430673,0.2095,0.1975,0.2095
0.3015,236525.92,BTC,72011.29,1710223032940,BTC,BTC-28JUN24,77316.26,81.88,11.0,0.0,4.5139,34.0,0.311,0.292,BTC-28JUN24-58000-C,0.30984969,0.301,0.288,0.301
0.25375,4517814.38,BTC,72011.29,1710223032940,BTC,BTC-29MAR24,73732.53,93.1,244.6,0.0,3.0181,421.8,0.2565,0.251,BTC-29MAR24-55000-C,0.26008066,0.256,0.03,0.263
0.51625,1007583.59,BTC,72011.29,1710223032940,BTC,BTC-28JUN24,77316.26,86.69,27.0,0.0,-0.291,560.0,0.518,0.5145,BTC-28JUN24-38000-C,0.51804267,0.514,0.514,0.518
,0.0,BTC,72011.29,1710223032940,BTC,BTC-27SEP24,80619.44,94.69,0.0,0.0,,0.0,,,BTC-27SEP24-150000-P,0.95526836,,,
0.035,379267.49,BTC,72011.29,1710223032940,BTC,BTC-29MAR24,73732.53,89.88,208.0,0.0,-29.0323,298.3,0.05,0.02,BTC-29MAR24-65000-P,0.0294323,0.022,0.022,0.031
0.0035,0.0,BTC,72011.29,1710223032940,BTC,BTC-27DEC24,81002.9024,100.0,0.0,0.0,,80.8,0.006,0.001,BTC-27DEC24-20000-P,0.01034819,0.008,,
0.40475,0.0,BTC,72011.29,1710223032940,BTC,BTC-28JUN24,77316.26,81.88,0.0,0.0,,155.8,0.4095,0.4,BTC-28JUN24-48000-C,0.40458816,0.3725,,
0.34125,0.0,BTC,72011.29,1710223032940,BTC,SYN.BTC-31MAY24,76380.14777777778,81.66,0.0,0.0,,70.1,0.3475,0.335,BTC-31MAY24-52000-C,0.34521212,0.288,,
0.13475,797773.72,BTC,72011.29,1710223032940,BTC,BTC-26APR24,75201.87,81.27,81.6,0.0,-1.8519,6.6,0.136,0.1335,BTC-26APR24-78000-P,0.1360404,0.1325,0.1325,0.138
0.44625,561603.33,BTC,72011.29,1710223032940,BTC,BTC-28JUN24,77316.26,82.5,17.6,0.0,1.7222,165.7,0.454,0.4385,BTC-28JUN24-44000-C,0.4477602,0.443,0.4355,0.4435
0.53575,39163.46,BTC,72011.29,1710223032940,BTC,BTC-29MAR24,73726.02,100.0,1.0,0.0,0.0,1112.8,0.5375,0.534,BTC-29MAR24-34000-C,0.5388588,0.5415,0.5415,0.5415
0.399,0.0,BTC,72011.29,1710223032940,BTC,SYN.BTC-31MAY24,76380.14777777778,84.17,0.0,0.0,,98.2,0.411,0.387,BTC-31MAY24-47000-C,0.40091548,0.349,,
0.18675,0.0,BTC,72011.29,1710223032940,BTC,BTC-26APR24,75201.87,83.01,0.0,0.0,,40.6,0.2005,0.173,BTC-26APR24-84000-P,0.19073206,0.249,,
,0.0,BTC,72011.29,1710223032940,BTC,BTC-27DEC24,81002.9024,90.9,0.0,0.0,,0.8,,,BTC-27DEC24-66000-P,0.20176025,0.2625,,
,0.0,BTC,72011.29,1710223032940,BTC,BTC-29MAR24,73726.02,89.19,0.0,0.0,,0.0,,,BTC-29MAR24-73500-C,0.07966091,,,
0.01,383931.61,BTC,72011.29,1710223032940,BTC,SYN.BTC-14MAR24,72505.58708731517,98.15,449.9,0.0,-26.6667,223.6,0.0105,0.0095,BTC-14MAR24-69500-P,0.01628142,0.011,0.01,0.015
0.18775,0.0,BTC,72011.29,1710223032940,BTC,BTC-27DEC24,81002.9024,76.63,0.0,0.0,,0.7,0.191,0.1845,BTC-27DEC24-105000-C,0.17994407,0.148,,
0.525,0.0,BTC,72011.29,1710223032940,BTC,BTC-27DEC24,81002.9024,69.39,0.0,0.0,,176.8,0.87,0.18,BTC-27DEC24-75000-C,0.27290987,0.0001,,
,0.0,BTC,72011.29,1710223032940,BTC,BTC-27DEC24,81002.9024,100.0,0.0,0.0,,577.2,,,BTC-27DEC24-54000-C,0.48057472,0.3915,,
0.2695,0.0,BTC,72011.29,1710223032940,BTC,SYN.BTC-31MAY24,76380.14777777778,80.0,0.0,0.0,,145.4,0.2765,0.2625,BTC-31MAY24-59000-C,0.27540865,0.2175,,
0.0029,364522.17,BTC,72011.29,1710223032940,BTC,SYN.BTC-12MAR24,72366.10126194553,92.43,329.3,0.0,37.5,86.8,0.0041,0.0017,BTC-12MAR24-72000-C,0.01872316,0.0055,0.0001,0.02
